Library Name,Address,Year,Street Address,City,Zip Code
Stanton-Rogahn,"347 Murray Terrace, Boganmouth, AZ 22723-4368",2012,93803 O'Keefe Manors,O'Konborough,75728-7841
"Monahan, Murazik and Gleichner","20561 Hackett Field, Homenicktown, OK 41735",2013,3447 Glenda Estate,Oscarstad,89908
Casper-Kozey,"Apt. 378 83761 Morissette Key, East Whitney, FL 78637",2011,6243 Vicente Flats,Mayertborough,10137
"Walter, Boyer and Gleichner","Suite 179 67951 King Key, Predovicfurt, TN 11156",2015,1395 Anthony Tunnel,Fernandobury,97541-7163
"Maggio, Bins and Schmidt","642 Quiana Flats, Port Kiyokostad, MT 69839-2547",1995,159 Elvis Plains,Port Tannerfort,24714
"Mosciski, Schultz and Morissette","68673 Cummerata Rest, North Owenside, MD 72351-4583",1995,76749 Davis Manor,Lake Marceloberg,11787
"Nader, Kutch and Armstrong","Apt. 602 465 Elaine Light, Lake Benjaminhaven, KS 59900",2004,809 Joana Ranch,Lasandrastad,17219-4481
Hilll-Marquardt,"978 Grady Underpass, Lake Concha, MI 25424",2006,32492 Chung Plaza,West Timmy,21172-1805
Kilback Group,"492 Kirby Valley, Port Rosario, MA 50660-8972",2004,4924 Halvorson Plain,North Ashleemouth,08401-6157
King LLC,"Apt. 141 8441 Stroman Glens, Astridbury, WV 99029",2004,6763 Mraz Track,Lake Haichester,63059
LOL1,123 AVENUE,2016,71044 Damien Track,Rautown,03354
Advocates' Library,"8565 Caron Ramp, Haagbury, SC 85119",2006,5636 Beer Crest,North Margaritaport,96248
African Heritage Research Library and Cultural Centre,"Apt. 170 4019 Emard Causeway, Pollichshire, NJ 31886",1975,426 Antonietta Rest,Watsicahaven,77168
Alexandria Library,"11691 Heller Plains, New Mellissaview, RI 44540-1460",1934,88087 Schowalter Drive,West Mallie,72784-4569
Alice Springs Public Library,"Apt. 491 34193 Langworth Burg, Artchester, MN 38585-8927",1920,397 Gusikowski Cliffs,Dibberthaven,00896-5088
Allahabad Public Library,"68181 Cody Points, Port Rutha, CO 61543",2006,8429 Ellyn Prairie,North Dana,47760-0374
Allegheny County Library Association,"Suite 229 60918 Floy Lakes, Volkmanhaven, CO 33738-6528",1939,4256 Justine Dale,Dachton,24880
Aloghar Library,"Apt. 478 120 Hilll Vista, North Merlin, VT 11057",1929,504 Skiles Estate,Latoyaville,65674
American Memorial Library,"7856 Jen Prairie, Greenfelderhaven, CT 15977",1985,61073 Devon Loop,Alphonsohaven,51038
Ann Arbor District Library,"Apt. 253 1449 Donte Parkway, Sharylhaven, VT 08714",2018,7068 Jacobs Island,East Kimberlieberg,20600
Argostoli Public Library,"128 Sterling Centers, South Jay, AZ 02387-8225",1907,4026 Ranee Locks,North Leonelport,89934-9098
Arlanza Branch Library,"7295 Veum Ways, Riceview, HI 89076-8313",1924,7677 Brakus Trafficway,Felipaside,73332-0287
Astan Quds Razavi's Central Library,"Suite 500 43305 Gutmann Plaza, Caspermouth, AR 80988",1953,44488 Feil Court,Port Otilia,03575-1668
Australian National University Library,"Suite 967 480 Green Groves, West Rowenaview, IA 18068",1972,862 Marion Roads,West Ta,18613-0769
Baltimore County Public Library,"6649 Elinor Courts, Larkintown, MN 16941",1946,60916 Annie Cliff,Port Simaview,54521
Barrow-in-Furness Main Public Library,"88205 Lindgren Well, West Sharla, NY 36275-7001",2000,40135 Schamberger Via,West Sandyland,95369-4097
Beinecke Rare Book and Manuscript Library,"92769 Rohan Heights, Grantshire, MT 89731",1962,44770 Hilda Gardens,Lake Shelton,72509-5953
Berlin Art Library,"824 Abshire Valleys, Lubowitzview, CA 56541",1949,5989 Craig Manors,East Herbertview,64841-2699
Berlin Central and Regional Library,"54975 Toy Lock, Zboncakberg, VA 80594",1946,121 Dietrich Valley,Greenholtshire,06618
Berlin State Library,"Suite 403 32075 Bartell Views, South Darrenmouth, MA 42196",1947,515 Parker Park,Padbergside,53409-6077
Birmingham Central Library,"73753 Mabelle Brooks, Kuphalfort, MD 01081-8310",1957,916 Josette Common,West Rosario,07406-9994
Bizzell Memorial Library,"309 Loida Corners, Teganton, RI 07249-1307",1983,1623 Hai Grove,Ardismouth,04897-5408
Bodleian Library,"Suite 586 81017 Frieda Rapids, Goldnerborough, SD 18259",2022,4820 Effertz Terrace,Damianfort,90559-9465
Boston Public Library,"73440 Brekke Rapids, Port Billy, PA 07112-8878",1963,92091 Beier Rest,Port Jewel,69723
British Library,"Suite 174 369 Gulgowski Rapid, Crooksville, AZ 95746",1922,4049 Su Mountains,Dakotachester,48915-1346
British Library of Political and Economic Science,"60559 Augusta Curve, Lake Connie, NH 83283",1966,16693 Eliseo Motorway,South Emmanuel,67137
Brooklyn Public Library,"52341 Goyette Wall, South Lenshire, NC 96817-5671",1924,615 Lucio Roads,Port Richardside,69064-3297
Broward County Library,"Apt. 661 84054 Cole Fall, West Stephan, SC 98006-6933",1938,4805 Block Ports,Stantonberg,55594-6889
Bugvia library,"Apt. 590 118 Feest Streets, Muellerstad, NM 52479",1960,84194 Kaye Canyon,Port Johnie,87812-3205
Burton Barr Central Library,"54984 Jeffery Neck, West Tristan, NH 01392",1958,12118 Felicia Crest,Hilpertberg,18278
Cal Poly Pomona University Library,"90615 Bergstrom Road, North Joseberg, NM 74776",1925,20948 Michel Valley,Port Jennette,83094-6696
Calgary Public Library,"Apt. 518 330 Metz Knoll, Markmouth, MS 55870",1993,19129 Nelle Road,Ritchiefurt,30270-6969
Cambridge University Library,"69670 Veum Heights, Rolfmouth, AZ 56049-7616",1970,6925 Hung Rapids,Port Pat,76100-6906
Carnegie Library of Pittsburgh,"Suite 380 369 Upton Lights, Wymanburgh, NY 48591",1989,9385 Samuel Stream,Jerrellfurt,16818-3811
Catholic National Library,"70327 Nikolaus Turnpike, New Alidaberg, ME 39220-7387",1989,33511 Lyda Neck,Lake Williamston,38547
Cerritos Millennium Library,"Suite 194 39420 D'Amore Heights, Leuschkeland, IA 77929",1937,6863 Hackett View,Port Maya,66033
Changhua City Library,"Suite 459 21536 Paris Burg, Millsmouth, MS 13033",1976,612 Prohaska Meadow,Rikkiburgh,41504
Charles V. Park Library,"Apt. 543 80599 Gottlieb Plaza, Justineborough, NC 19643",1978,633 Lynetta Forges,Lockmantown,45999
Chekhov Library,"235 Schmitt Ridge, Gregoryside, NM 58117-9554",1995,33607 Chadwick Alley,West Christoper,07366-9403
Chetham's Library,"345 Turcotte View, Terrellhaven, ME 63795-7222",1992,7902 Bayer Course,East Maynard,27901-0681
Chicago Public Library,"Apt. 613 80122 King Light, Ritchieville, KS 52688",2002,2801 Corwin Islands,Runolfsdottirport,87162-4001
Chincoteague Island Library,"829 Lillian Meadows, West Delmerview, GA 06953-9426",1992,6147 Kirlin Rue,Miquelstad,35184-4469
Chongqing Library,"677 Georgine Run, Jerdeview, AL 66684",1995,5701 Langworth Locks,Mannburgh,47000
Cincinnati Public Library,"Apt. 549 2696 Dicki Gateway, New Phungside, LA 93031",1946,266 Mickey Track,Douglasville,76176
City of Playford Library Service,"169 Madelene Summit, Vandervortville, OK 27521-8687",1993,959 Jason Wall,Dorcasfurt,45675-0779
Cleveland Public Library,"Apt. 219 50838 Kovacek Union, East Milfordfurt, IA 60428-3089",2006,4457 Cory Islands,West Babette,80781-4917
Clinton-Macomb Public Library,"Apt. 283 4299 Gerard Meadow, Dariabury, NV 31019-4656",1934,34853 Shalanda Estates,Rodgerview,70822-9751
College of DuPage Library,"Apt. 247 135 Leffler Radial, Sipesside, NY 37821",1950,4370 Moen Crescent,West Dinoton,61666
Cologne Public Library,"Suite 548 685 Walker Dale, Schimmelchester, GA 31890",1913,530 Rick Pine,South Harlandmouth,95357
Columbia Public Library,"Apt. 519 1029 Muller Squares, South Devon, WY 27032-7231",2015,815 Bradford Shore,Wisokybury,30800
Columbus Metropolitan Library,"761 Rosetta Vista, Watsicachester, MD 45455-9293",1903,51267 Homer Junctions,Lake Dalton,39433
Contra Costa County Library,"88115 Roselle Roads, East Ozzie, LA 25694",1919,9705 Alena Park,Carichester,63747-5745
Cory Library for Historical Research,"5550 Leuschke Ridges, New Vinitaberg, RI 09741",1928,976 Kutch Extensions,North Marilynn,79110
County of Los Angeles Public Library,"40575 Emard Crossing, Reginastad, VA 62814-7587",1934,55338 Hermiston Vista,North Franklin,59688-2512
Cuyahoga County Public Library,"Suite 895 2659 Goyette Streets, South Christyburgh, ND 69539",1922,889 Aurelio Islands,West Reginald,37876
Danish Royal Library,"89520 Nikolaus Burg, O'Keefeport, CO 76216",2008,8680 Salina Square,Leroyville,58101
David Lubin Memorial Library,"206 Sam Route, Schambergerborough, MS 36548-3635",2022,68271 Mueller Camp,Tangelafurt,66118
Detroit Public Library,"Apt. 788 845 Idella Wall, Moorefort, DE 59054-6990",1960,7879 Schimmel Spring,Edgardoberg,67080
District of Columbia Public Library,"Suite 943 9942 Morissette Greens, Julietview, MT 02592",1960,654 Coy Estates,Lake Desmond,98775-6747
Doe Library,"39855 Lionel Knoll, New Nikolemouth, LA 39959-4714",1905,40479 Lakeesha Prairie,East Theo,94054
